date,prediction,real_price
2014/09/24,431.6138610839844,423.2
2014/09/25,403.0275573730469,411.57
2014/09/26,377.8865966796875,404.42
2014/09/27,389.7752990722656,399.52
2014/09/28,381.3330993652344,377.18
2014/09/29,384.1726379394531,375.47
2014/09/30,412.901123046875,386.94
2014/10/01,402.0535278320313,383.61
2014/10/02,392.1055908203125,375.07
2014/10/03,386.0401306152344,359.51
2014/10/04,381.9025573730469,328.87
2014/10/05,363.2605590820313,320.51
2014/10/06,361.8446350097656,330.08
2014/10/07,371.4536437988281,336.19
2014/10/08,368.6920471191406,352.94
2014/10/09,361.3797302246094,365.03
2014/10/10,348.4458923339844,361.56
2014/10/11,323.297119140625,362.3
2014/10/12,316.4694519042969,378.55
2014/10/13,324.6142578125,390.41
2014/10/14,329.52880859375,400.87
2014/10/15,343.5620422363281,394.77
2014/10/16,353.4403991699219,382.56
2014/10/17,350.5804138183594,383.76
2014/10/18,351.1898193359375,391.44
2014/10/19,364.77880859375,389.55
2014/10/20,374.8726501464844,382.85
2014/10/21,383.8149108886719,386.48
2014/10/22,378.6148376464844,383.16
2014/10/23,368.3562622070313,358.42
2014/10/24,369.3587646484375,358.35
2014/10/25,375.7946166992188,347.27
2014/10/26,374.22265625,354.7
2014/10/27,368.67327880859375,352.99
2014/10/28,371.6867980957031,357.62
2014/10/29,368.6839294433594,335.59
2014/10/30,348.23101806640625,345.3
2014/10/31,348.1734313964844,338.32
2014/11/01,339.0920715332031,325.75
2014/11/02,345.15008544921875,325.89
2014/11/03,343.7450866699219,327.55
2014/11/04,347.4521789550781,330.49
2014/11/05,328.9844970703125,339.49
2014/11/06,336.5744934082031,349.29
2014/11/07,330.8128356933594,342.42
2014/11/08,320.4713134765625,345.49
2014/11/09,320.5866394042969,363.26
2014/11/10,321.9434509277344,366.92
2014/11/11,324.3681640625,367.7
2014/11/12,331.4988708496094,423.56
2014/11/13,339.63751220703125,420.73
2014/11/14,334.23291015625,397.82
2014/11/15,336.7754211425781,376.13
2014/11/16,351.5947570800781,387.88
2014/11/17,354.6335754394531,387.41
2014/11/18,355.3446350097656,375.2
2014/11/19,403.6920776367188,380.55
2014/11/20,401.3790893554688,357.84
2014/11/21,381.3349304199219,350.85
2014/11/22,362.8008728027344,352.92
2014/11/23,372.8024291992188,367.57
2014/11/24,372.3097839355469,376.9
2014/11/25,362.0606384277344,375.35
2014/11/26,366.5821228027344,368.37
2014/11/27,347.4137878417969,369.67
2014/11/28,341.6567077636719,376.45
2014/11/29,343.371826171875,375.49
2014/11/30,355.579345703125,378.05
2014/12/01,363.43499755859375,379.24
2014/12/02,362.196044921875,381.32
2014/12/03,356.3396301269531,375.01
2014/12/04,357.4320983886719,369.6
2014/12/05,363.4002075195313,376.85
2014/12/06,362.5797729492188,374.79
2014/12/07,364.76898193359375,375.1
2014/12/08,365.8761901855469,361.91
2014/12/09,367.6349182128906,352.22
2014/12/10,362.3549499511719,346.36
2014/12/11,357.78936767578125,350.51
2014/12/12,363.8597106933594,352.54
2014/12/13,362.1051330566406,347.38
2014/12/14,362.3689880371094,351.63
2014/12/15,351.3515014648437,345.35
2014/12/16,343.5847473144531,327.06
2014/12/17,338.7632141113281,319.78
2014/12/18,342.1808776855469,311.4
2014/12/19,343.897216796875,317.84
2014/12/20,339.5958557128906,329.96
2014/12/21,343.1376647949219,320.84
2014/12/22,337.7633972167969,331.89
2014/12/23,322.4112854003906,334.57
2014/12/24,316.3384094238281,322.53
2014/12/25,309.1895751953125,319.01
2014/12/26,314.6834716796875,327.92
2014/12/27,324.8095703125,315.86
2014/12/28,317.20904541015625,317.24
2014/12/29,326.2541809082031,312.67
2014/12/30,328.4209289550781,310.74
2014/12/31,318.3735656738281,320.19
2015/01/01,315.4356689453125,314.25
2015/01/02,323.15533447265625,315.03
2015/01/03,313.0431823730469,281.08
2015/01/04,314.2157897949219,264.2
2015/01/05,310.2433776855469,274.47
2015/01/06,308.6549987792969,286.19
2015/01/07,316.79541015625,294.34
2015/01/08,311.7387084960937,283.35
2015/01/09,312.328125,290.41
2015/01/10,274.92218017578125,274.8
2015/01/11,258.5497741699219,265.66
2015/01/12,267.38653564453125,267.8
2015/01/13,279.2709350585937,225.86
2015/01/14,290.9210205078125,178.1
2015/01/15,276.5263366699219,209.84
2015/01/16,285.1180419921875,208.1
2015/01/17,267.7353515625,199.26
2015/01/18,260.4626159667969,210.34
2015/01/19,262.62237548828125,214.86
2015/01/20,232.2901611328125,211.32
2015/01/21,198.11880493164065,226.9
2015/01/22,222.47103881835935,233.41
2015/01/23,221.8679351806641,232.88
2015/01/24,215.50833129882807,247.85
2015/01/25,223.4793701171875,253.72
2015/01/26,226.73117065429688,273.47
2015/01/27,225.1280212402344,263.48
2015/01/28,236.4005126953125,233.91
2015/01/29,241.4107360839844,233.51
2015/01/30,240.62342834472656,226.43
2015/01/31,251.3935546875,217.46
2015/02/01,255.61749267578125,226.97
2015/02/02,269.138427734375,238.23
2015/02/03,262.667724609375,227.27
2015/02/04,240.98133850097656,226.85
2015/02/05,239.0913848876953,217.11
2015/02/06,235.6012115478516,222.27
2015/02/07,229.14805603027344,227.75
2015/02/08,235.98963928222656,223.41
2015/02/09,244.1217041015625,220.11
2015/02/10,235.63699340820312,219.84
2015/02/11,235.22579956054688,219.18
2015/02/12,228.33297729492188,221.76
2015/02/13,230.66221618652344,235.43
2015/02/14,234.60467529296875,257.32
2015/02/15,231.4823760986328,234.82
2015/02/16,229.5210876464844,233.84
2015/02/17,228.67271423339844,243.61
2015/02/18,227.375732421875,236.33
2015/02/19,229.49835205078125,240.28
2015/02/20,239.7022399902344,243.78
2015/02/21,255.47349548339844,244.53
2015/02/22,239.26333618164065,235.98
2015/02/23,238.5581970214844,238.89
2015/02/24,245.06207275390625,238.74
2015/02/25,239.2030487060547,237.47
2015/02/26,242.41009521484372,236.43
2015/02/27,244.78836059570312,253.83
2015/02/28,245.32861328125,254.26
2015/03/01,239.17312622070312,260.2
2015/03/02,240.9357147216797,275.67
2015/03/03,240.6270446777344,281.7
2015/03/04,240.1881103515625,273.09
2015/03/05,239.75767517089844,276.18
2015/03/06,252.6717529296875,272.72
2015/03/07,252.982421875,276.26
2015/03/08,257.2889099121094,274.35
2015/03/09,268.7699584960937,289.61
2015/03/10,274.5565185546875,291.76
2015/03/11,266.465576171875,296.38
2015/03/12,269.1419982910156,294.35
2015/03/13,266.1413879394531,285.34
2015/03/14,270.26348876953125,281.89
2015/03/15,267.9061889648437,286.39
2015/03/16,288.47247314453125,290.59
2015/03/17,291.18902587890625,285.51
2015/03/18,295.7553100585937,256.3
2015/03/19,293.9115905761719,260.93
2015/03/20,283.9918212890625,261.75
2015/03/21,279.4862365722656,260.02
2015/03/22,285.35357666015625,267.96
2015/03/23,290.3056335449219,266.74
2015/03/24,284.17047119140625,245.6
2015/03/25,251.6330108642578,246.2
2015/03/26,255.9012451171875,248.53
2015/03/27,256.5267333984375,247.03
2015/03/28,255.21212768554688,252.8
2015/03/29,261.601806640625,242.71
2015/03/30,260.6766357421875,247.53
