1.222	1.5812	1.3963	1.1328	1.183	1.206	1.158
1.2649	1.2466	0.9872	0.9069	0.9415	0.82	0.6612
0.6863	0.6095	0.6279	0.5341	0.4316	0.6197	1.2092
0.9946	0.9157	0.7965	0.9062	0.9288	0.8938	0.9141
0.8121	0.806	0.9312	0.993	0.9061	0.862	0.8743
0.9384	0.9558	1.0661	1.2205	1.3632	2.1476	2.543
2.2152	2.5364	4.4968	5.3305	4.6822	5.6041	6.4055
9.2406	9.5821	11.13	12.56	10.3	11.26	11.61
11.67	10.7	8.6395	8.2359	8.6882	8.0078	7.202
10.17	9.3729	9.9951	11.19	13.69	12.79	12.33
13.74	13.95	14.19	18.36	12.24	14.3	12.17
12.12	10.12	10.45	11.92	12.46	12.74	12.84
8.8768	10.86	12.14	11.23	10.75	11.02	10.92
11.96	11.73	12.21	11.94	12.44	13.32	13.11
13.18	12.85	11.76	11.94	12.05	12.04	11.47
10.77	10.99	10.67	9.9719	9.4828	9.9198	8.9984
8.4556	6.8046	8.1264	8.2353	7.8194	7.1524	7.149
7.9823	10.29	10.37	9.7865	10.24	10.71	10.58
10.74	11.44	11.44	11.29	12.71	12.6	14.51
19.04	18.88	21.46	35.36	43.51	53.58	50.57
48.82	42.87	43.5	49.04	48.13	48.87	71.39
77.25	97.87	89.43	92.39	129.22	189.85	170.13
222.29	264.26	338.79	358.51	370.33	341.63	293.04
288.41	270.35	211.52	169.57	205.42	226.29	193.34
227.01	256.42	294.49	299.95	296.16	317.45	350.04
383.47	313.8	294.06	276.59	293.66	264.6	287.02
302.48	295.15	297.6	339.53	314.54	295.1	297.92
305.76	300.04	320.67	316.76	347.4	381.44	471.53
466.85	462.6	472.79	696.38	796.9	681.32	762.21
755.76	975.75	1300.34	1397.48	1016.44	1004.17	1055.75
1071.99	834.96	818.48	869.29	973.35	849.26	845.28
856.71	816.27	685.31	611.78	556.72	542.57	448.08
379.7	382.73	415.02	502.88	524.04	643.4	644.65
674.08	793.34	727.01	731.14	697.92	584.54	573.04
580.43	610.26	594.34	520.48	519.02	466.27	442.29
453.82	474.36	434.52	435.88	480.63	451.14	469.68
433.87	410.57	365.78	286.37	295.67	271.75	286.65
283.5	286.05	197.85	212.67	197.09	240.99	215.44
233.22	227.55	227.62	199.69	203.26	204.02	203.36
197.54	207.1	211.99	206.53	174.18	136.81	107.91
113.4	110.34	94.99	86.63	95.11	117.27	131.92
154.34	150.55	125.91	123.65	117.11	116.37	108.9
107.63	104.65	122.54	123.18	149.35	139.65	138.45
136.35	137.96	136.85	133.57	139.25	138.32	141.01
141.47	165.51	176.07	164.48	173.79	172.01	156.27
160.85	163.34	170.31	217.01	234.45	245.99	272.59
268.43	246.93	232.83	256.18	265.06	309.42	336.96
297.54	287.89	308.85	227.97	226.66	217.57	207.41
218.55	222.65	210.53	208.6	185.84	191.11	188.95
168.89	175.97	181.36	180.98	208.05	215.49	170.76
180.21	176.95	182.04	182.03	177.99	174.91	179.93
184.8	182.32	184.31	186.94	183.35	161.51	146.4
146.69	151.22	145.66	122.66	128.1	126.49	132.61
134.17	143.49	146.22	164.49	167.06	161.18	174.92
188.61	222.51	235.51	264.9	257.89	265.28	219.75
224.64	201.32	133.58	113.86	132.85	138.37	132.82
