adjunct,word,level
系研究生会,主席,3
校级,三好学生,2
项目,java,3
校,三好学生,2
校,优秀干部,3
校,优秀团员,3
校,优秀学生,3
校会副,主席,3
校级,奖学金,1
校级,三好学生,2
校级,优秀干部,3
校级,优秀团干,3
校级,优秀团员,3
校级,优秀学生,3
校级学生会副,主席,3
校级一等,奖学金,2
校一等,奖学金,2
校区,优秀团员,3
校团,优秀干部,3
校团学,优秀团员,2
校五·四,优秀团员,3
校学生会,部长,3
校学生会,优秀干部,3
校学生会,主席,4
校学生会副,主席,3
社团,主席,2
校研究生会,主席,4
校研究生会副,部长,2
校研究生会副,主席,3
公关部,部长,3
协会,会长,2
协会,优秀干部,1
协会,主席,2
协会部,主席,2
协会常务副,主席,1
协会副,会长,1
协会副,主席,1
协会社团副,会长,1
协会组织部,部长,3
新农村服务团,优秀干部,3
新生,优秀团员,3
新闻部,部长,3
新闻中心,部长,3
宿管会,主席,2
宣传,部长,3
宣传部,部长,3
宣传部副,部长,2
学管会,主席,3
校,优秀团员,3
校,优秀学生,3
院,优秀学生,2
院级,优秀学生,2
学生,优秀学生,2
学会副,主席,1
学生会,优秀干部,2
学生会,优秀学生,2
学生会,主席,2
学生会副,主席,1
秘书长,主席,2
社团副,部长,2
体育部副,部长,2
外事部,部长,3
组织部,部长,3
社团,主席,2
社团公关部,部长,3
社团宣传部,部长,3
学习部,部长,3
学校,优秀团员,3
学校,优秀学生,3
学校级,优秀团员,3
学校级,优秀学生,3
学院,三好学生,1
学院,优秀干部,2
学院,优秀团员,2
学院,优秀学生,2
学院,主席,3
学院副,主席,2
学院共青团,优秀干部,2
宣传部,部长,3
学院联合会,会长,2
学院团,优秀干部,2
学院委员会,优秀学生,2
学院新生,优秀干部,2
学院优秀,三好学生,1
学者联盟,主席,2
训练营,主席,2
亚洲学生会副,主席,3
研会,优秀干部,2
研会,主席,4
研会副,主席,3
研究会,主席,2
研究会副,主席,1
研究生,优秀干部,3
研究生部,优秀团员,2
研究生会,优秀干部,3
研究生会,主席,4
研究生会副,主席,2
研究生教育院,优秀团员,2
研究生委员会副,主席,3
研究所研究生会,主席,4
一般,c++,2
一般,图片处理,2
一定,c++,2
一定,oracle,1
一定,spring,1
一定,vb,2
一级,cfa,2
艺术团,优秀干部,1
艺术团,优秀团员,1
音响组,主席,2
应用,c++,3
优社团副,会长,1
有所,c++,2
院,三好学生,1
院,优秀干部,2
院,优秀团员,2
院,优秀学生,2
院,主席,3
院级,三好学生,1
院级,优秀干部,2
院级,优秀团员,2
院级,优秀学生,2
院级副,主席,2
联合会,部长,3
联合会,会长,3
联合会副,主席,1
财务部副,部长,2
院生管会副,主席,2
院团委副,主席,2
实践部,部长,3
学生会副,主席,2
院委员会,优秀团员,2
文体部副,部长,2
文学联盟,主席,2
院系,优秀干部,2
院系,优秀学生,2
院校,优秀团员,3
信息中心,主席,2
院学督部,主席,2
院学生会,优秀干部,2
院学生会,优秀学生,2
院学生会,主席,3
院学生会副,主席,2
院学习部,部长,3
院学学生会副,主席,2
院研分会副,主席,2
院研会,主席,3
院研会副,主席,2
院研究生会,主席,3
院研究生会常务副,主席,2
院研究生会副,主席,2
体育部,部长,3
学术部,部长,3
学术部副,部长,2
院研究生学生会副,主席,2
院优秀,三好学生,1
院志愿中心,主席,2
省,三好学生,4
掌握,c++,3
掌握,db2,2
掌握,dreamweaver,2
掌握,eviews,3
掌握,flash,3
掌握,java,3
掌握,jsp,3
掌握,mysql,3
掌握,oracle,3
掌握,php,3
掌握,spss,3
掌握,sqlserver,3
掌握,vb,3
掌握,图片处理,3
志愿者管理岗,优秀团员,2
智囊社团副,主席,1
中心副,主席,2
中心副秘书长副,主席,1
中学,优秀团员,1
中学生,英语竞赛,1
中专院校先锋杯,优秀团员,2
主流,java,2
专业,c++,3
专业,eviews,3
专业,excel,3
专业,java,3
专业,spss,3
专业,办公软件,3
自管会副,主席,1
组织部,部长,3
